Word,Frequency
indian,54
premier,96
league,114
wikipedia,6
function,6
var,16
cookie,2
1,25
2c,1
pref,1
new,20
regexp,1
2,23
wgbreakframes,1
false,12
wgseparatortransformtable,1
wgdigittransformtable,1
wgdefaultdateformat,1
dmy,3
wgmonthnames,1
january,26
february,37
march,37
april,60
may,55
june,38
july,13
august,28
september,21
october,26
november,21
december,21
wgrequestid,1
wgcanonicalnamespace,1
wgcanonicalspecialpagename,1
wgnamespacenumber,1
wgpagename,1
wgtitle,1
wgcurrevisionid,1
wgrevisionid,1
wgarticleid,1
wgisarticle,1
true,10
wgisredirect,1
wgaction,1
view,1
wgusername,1
null,1
wgusergroups,1
wgcategories,1
pages,3
using,5
easytimeline,2
extension,1
cs1,1
sources,3
id,2
webarchive,2
template,11
wayback,2
links,2
articles,8
short,3
description,3
different,4
wikidata,2
indefinitely,3
use,4
english,7
2021,36
written,2
dates,2
2025,43
containing,6
potentially,6
dated,6
statements,6
commons,3
category,2
link,2
professional,5
sports,53
leagues,24
india,55
cricket,59
twenty20,20
established,6
2008,26
establishments,2
sport,5
wgpageviewlanguage,1
en,4
wgpagecontentlanguage,1
wgpagecontentmodel,1
wikitext,1
wgrelevantpagename,1
wgrelevantarticleid,1
wgisprobablyeditable,1
wgrelevantpageisprobablyeditable,1
wgrestrictionedit,1
autoconfirmed,1
wgrestrictionmove,1
wgnoticeproject,1
wgflaggedrevsparams,1
tags,1
status,1
levels,1
wgmediavieweronclick,1
wgmediaviewerenabledbydefault,1
wgpopupsflags,1
wgvisualeditor,1
pagelanguagecode,1
pagelanguagedir,1
ltr,1
pagevariantfallbacks,1
wgmfdisplaywikibasedescriptions,1
search,1
watchlist,1
tagline,1
nearby,1
wgwmeschemaeditattemptstepoversample,1
wgwmepagelength,1
wgmetricsplatformuserexperiments,1
overrides,1
enrolled,1
assigned,1
wgeditsubmitbuttonlabelpublish,1
wgulsposition,1
interlanguage,1
wgulsiscompactlinksenabled,1
wgvector2022languageinheader,1
wgulsislanguageselectorempty,1
wgwikibaseitemid,1
q396412,1
wgcheckuserclienthintsheadersjsapi,1
brands,1
architecture,1
bitness,1
fullversionlist,1
mobile,2
model,3
platform,3
platformversion,1
gehomepagesuggestededitsenabletopics,1
wggesuggestededitstasktypes,1
tasktypes,1
copyedit,1
unavailabletasktypes,1
wggetopicsmatchmodeenabled,1
wggelevelingupenabledforuser,1
ready,16
user,1
loading,1
site,2
return,2
12s5i,1
jquery,1
require,2
module,1
patroltoken,1
watchtoken,1
csrftoken,1
jump,1
contentmain,1
menumain,1
menumove,1
sidebarhidenavigationmain,1
pagecontentscurrent,1
eventsrandom,1
articleabout,1
wikipediacontact,1
uscontributehelplearn,1
editcommunity,1
portalrecent,1
changesupload,2
filespecial,1
pagessearchsearchappearancedonatecreate,1
accountlog,2
inpersonal,1
toolsdonatecreate,1
inpages,1
logged,1
editorslearn,1
morecontributionstalkcontentsmove,1
sidebarhide,1
top,8
1historytoggle,1
history,3
terminations2organizationtoggle,1
organization,4
money3rules,1
format4teamstoggle,1
teams,42
teams5squadstoggle,1
squads,2
salaries6tournament,1
summary7editions,1
results8performance,1
teamstoggle,1
performance,3
time,10
standings9records,1
statisticstoggle,1
records,4
statistics,1
appearances10prizestoggle,1
prizes,1
play,11
valuable,4
player,42
sixes,6
award11financestoggle,1
finances,1
foreign,6
national,11
value12broadcastingtoggle,1
broadcasting,2
broadcasters13controversiestoggle,1
controversies,1
royals,14
ownership,6
srinivasan,9
players,71
dispute,4
australia,4
regarding,2
ipl,232
tharoor,6
sunanda,2
pushkar,4
sweat,2
equity,4
impact,8
international,10
pakistani,7
bangladeshi,6
players14see,1
also15notes16references17external,1
linkstoggle,1
table,24
contentsindian,2
league100,2
englishسنڌيslovenčinaslovenščinasoomaaligaсрпски,1
srpskisrpskohrvatski,1
uyghurcheyorùbá粵語中文nupeedit,1
linksarticletalkenglishreadview,1
sourceview,2
historytoolstoolsmove,1
sidebarhideactionsreadview,1
historygeneralwhat,1
hererelated,1
filepermanent,1
linkpage,1
informationcite,1
pageget,1
shortened,1
urldownload,1
qr,1
pdfprintable,1
versionin,1
projectswikimedia,1
commonswikidata,1
itemappearancemove,1
sidebarhidefrom,1
free,3
